Experimento,Learning Rate,epocas,Capas Usadas,Training Accuracies,Validation Accuracies,Mean Accuracy Training,Std Accuracy Training,Mean Accuracy Validation,Std Accuracy Validation,Accuracy Test,Precision Test,Sensibilidad Test,Especificidad Test
Cancer_Adasyn_OSS,0.002632489850884986,280,"(60, 30, 30)","[0.6176470588235294, 0.6225490196078431, 0.49019607843137253, 0.5196078431372549, 0.5196078431372549]","[0.5882352941176471, 0.5882352941176471, 0.49019607843137253, 0.5098039215686274, 0.5098039215686274]",0.553921568627451,0.055111644402177244,0.5372549019607844,0.042236586722623586,0.656934306569343,0.6557377049180327,0.6060606060606061,0.704225352112676
Cancer_BSMOTE_Tomek,0.0012514375042216742,472,"(100, 80, 40)","[0.9016393442622951, 0.9344262295081968, 0.912568306010929, 0.907103825136612, 0.9184782608695652]","[0.8695652173913043, 0.7391304347826086, 0.7608695652173914, 0.782608695652174, 0.7111111111111111]",0.9148431931575196,0.011279393463513816,0.7726570048309179,0.053927932423684447,0.7560975609756098,0.6973684210526315,0.8833333333333333,0.6349206349206349
Cancer_BSMOTE_ENN,0.007356130260680905,482,"(100, 60, 90)","[0.7637362637362637, 0.9010989010989011, 0.9285714285714286, 0.9016393442622951, 0.9180327868852459]","[0.7608695652173914, 0.717391304347826, 0.782608695652174, 0.6, 0.6222222222222222]",0.8826157449108267,0.06033597129776285,0.6966183574879227,0.07324474482128861,0.7479674796747967,0.6964285714285714,0.7358490566037735,0.7571428571428571
Cancer_BSMOTE_CNN,0.0044446972032064665,438,"(100, 70, 60)","[0.7175925925925926, 0.7557603686635944, 0.7649769585253456, 0.7373271889400922, 0.695852534562212]","[0.5454545454545454, 0.6851851851851852, 0.5925925925925926, 0.6666666666666666, 0.7222222222222222]",0.7343019286567672,0.025171937242455505,0.6424242424242423,0.06429654173302345,0.7602739726027398,0.7261904761904762,0.8356164383561644,0.684931506849315
Cancer_BSMOTE_NCR,0.0033518855829806882,168,"(100, 30, 50)","[0.8888888888888888, 0.8888888888888888, 0.9415584415584416, 0.8831168831168831, 0.9155844155844156]","[0.7948717948717948, 0.8717948717948718, 0.8421052631578947, 0.8157894736842105, 0.9736842105263158]",0.9036075036075035,0.0220765073252964,0.8596491228070174,0.06257647880252655,0.875,0.8333333333333334,0.9649122807017544,0.7659574468085106
Cancer_BSMOTE_OSS,0.006870697543227058,337,"(30, 100, 100)","[0.7289719626168224, 0.6635514018691588, 0.6822429906542056, 0.6837209302325581, 0.7023255813953488]","[0.6666666666666666, 0.7037037037037037, 0.6111111111111112, 0.6415094339622641, 0.6981132075471698]",0.6921625733536187,0.022120020179074627,0.6642208245981831,0.03478511876979023,0.6597222222222222,0.6428571428571429,0.6521739130434783,0.6666666666666666
Cancer_SVMSMOTE_Tomek,0.0009545339614877283,271,"(50, 50, 50)","[0.8402061855670103, 0.8247422680412371, 0.7989690721649485, 0.8, 0.7846153846153846]","[0.7346938775510204, 0.7551020408163265, 0.7551020408163265, 0.7291666666666666, 0.8541666666666666]",0.8097065820777161,0.019976875182318787,0.7656462585034014,0.04549073360993863,0.8244274809160306,0.819672131147541,0.8064516129032258,0.8405797101449275
Cancer_SVMSMOTE_ENN,0.0019155716896446335,190,"(60, 20, 90)","[0.8449197860962567, 0.839572192513369, 0.8342245989304813, 0.8502673796791443, 0.8829787234042553]","[0.8297872340425532, 0.8723404255319149, 0.851063829787234, 0.7872340425531915, 0.6956521739130435]",0.8503925361247013,0.017148226073920386,0.8072155411655875,0.062480476146761235,0.8253968253968254,0.875,0.7241379310344828,0.9117647058823529
Cancer_SVMSMOTE_CNN,0.006622743686117571,456,"(100, 80, 90)","[0.7009345794392523, 0.705607476635514, 0.7616822429906542, 0.7209302325581395, 0.7069767441860465]","[0.7037037037037037, 0.5925925925925926, 0.7037037037037037, 0.7169811320754716, 0.7735849056603774]",0.7192262551619214,0.022250939260727975,0.6981132075471698,0.05873513985178112,0.6666666666666666,0.7333333333333333,0.4782608695652174,0.84
Cancer_SVMSMOTE_NCR,0.0030885725329449377,195,"(60, 50, 70)","[0.8944444444444445, 0.9, 0.8944444444444445, 0.8888888888888888, 0.8944444444444445]","[0.8444444444444444, 0.8, 0.8222222222222222, 0.8222222222222222, 0.8888888888888888]",0.8944444444444445,0.0035136418446315553,0.8355555555555554,0.03014368881389006,0.8181818181818182,0.8490566037735849,0.7627118644067796,0.8709677419354839
Cancer_SVMSMOTE_OSS,0.03524927192689652,81,"(10, 80, 80)","[0.7523364485981309, 0.7850467289719626, 0.7663551401869159, 0.7627906976744186, 0.7348837209302326]","[0.7037037037037037, 0.7592592592592593, 0.6666666666666666, 0.7358490566037735, 0.7358490566037735]",0.7602825472723321,0.016520730989240912,0.7202655485674354,0.03210400524936964,0.75,0.7088607594936709,0.8115942028985508,0.6933333333333334
Cancer_KMSSMOTE_Tomek,0.0067615367909069106,451,"(40, 50, 20)","[0.9333333333333333, 0.9179487179487179, 0.9282051282051282, 0.9487179487179487, 0.8979591836734694]","[0.7755102040816326, 0.7959183673469388, 0.673469387755102, 0.7142857142857143, 0.75]",0.9252328623757196,0.016869579629527023,0.7418367346938776,0.043723031195160314,0.7348484848484849,0.6944444444444444,0.7936507936507936,0.6811594202898551
Cancer_KMSSMOTE_ENN,0.008308654897669153,477,"(70, 90, 50)","[0.9042553191489362, 0.8888888888888888, 0.9894179894179894, 0.9312169312169312, 0.8783068783068783]","[0.7291666666666666, 0.8085106382978723, 0.851063829787234, 0.7872340425531915, 0.7021276595744681]",0.9184172013959249,0.039714639995455985,0.7756205673758865,0.05379124055536259,0.8267716535433071,0.8301886792452831,0.7719298245614035,0.8714285714285714
Cancer_KMSSMOTE_CNN,0.012064432143427735,223,"(20, 100, 70)","[0.7731481481481481, 0.7824074074074074, 0.7638888888888888, 0.8101851851851852, 0.8240740740740741]","[0.7777777777777778, 0.6481481481481481, 0.7407407407407407, 0.7037037037037037, 0.6851851851851852]",0.7907407407407407,0.02275593653230466,0.7111111111111111,0.044752022124424334,0.821917808219178,0.8243243243243243,0.8243243243243243,0.8194444444444444
Cancer_KMSSMOTE_NCR,0.009274610547891306,380,"(100, 90, 80)","[0.9427083333333334, 0.984375, 1.0, 0.953125, 0.9427083333333334]","[0.75, 0.875, 0.875, 0.8541666666666666, 0.7916666666666666]",0.9645833333333333,0.023385358667337118,0.8291666666666666,0.05,0.7751937984496124,0.7936507936507936,0.7575757575757576,0.7936507936507936
Cancer_KMSSMOTE_OSS,0.028637265846294724,383,"(60, 70, 50)","[0.771689497716895, 0.821917808219178, 0.7488584474885844, 0.7808219178082192, 0.7681818181818182]","[0.6727272727272727, 0.7818181818181819, 0.7272727272727273, 0.8, 0.7962962962962963]",0.778293897882939,0.024173350761201508,0.7556228956228955,0.048959702357805585,0.7837837837837838,0.8548387096774194,0.6973684210526315,0.875
